PDBID	Resolution
2w99	2.8
2wip	2.8
1opl	3.42
3r9d	1.95
5otd	1.57
6rna	2.62
2b53	2.0
6rua	2.75
1ua2	3.02
5k7i	2.31
8p4z	2.75
3tnf	2.5
4kik	2.83
5ufu	3.45
8r99	1.81
7z3k	2.0
3r7i	1.85
5ar8	2.79
6qaa	1.897
1a35	2.5
7aj5	2.0
6yox	2.05
6r4g	2.501
4zjj	2.2
7o2v	3.1
4fv9	2.11
5r9y	1.57
4zlo	2.5
1yxs	2.2
3ddc	1.8
6rjl	1.28
7q13	3.0
5ot6	1.94
5mks	1.99
6l12	1.87
2ivs	2.0
4zim	2.65
3q6u	1.6
6mnh	1.73
8ox1	2.7
5b7v	2.15
3zya	1.9
4gvj	2.03
2x1n	2.75
4cv9	2.5
4ijp	2.25
1p2s	2.45
6y4v	1.75
2bhh	2.6
4s30	2.0
3vbw	2.48
4ek6	1.52
6fi6	1.65
8udt	2.829
6d5m	2.081
5ew9	2.181
2hiw	2.2
8plz	1.9
7u2z	2.21
8p78	1.9
6vqn	2.49
3tiy	1.84
7kts	19.09
8ah2	2.9
6ge0	1.82
3e63	1.9
4x6q	2.52
5otq	1.38
7yaw	2.1
6y5q	7.1
3mpt	1.89
7rx7	1.645
3vw8	2.1
5ggt	2.8
7ayi	2.86
1yoj	1.95
8bpw	1.8
3f7z	2.4
6tu1	2.31
3hp2	2.15
3ac4	2.7
2xsn	2.68
6ynf	2.394
2c5v	2.9
3qtz	2.0
3lxp	1.65
3wf5	2.099
4uzh	2.0
5osl	1.95
2r7b	2.7
7ob5	1.8
2duv	2.2
6gu2	2.0
3gfw	2.74
5uox	2.5
4nks	2.5
2xiz	2.21
1muo	2.9
2w1d	2.97
7p4o	1.69
6e6e	2.15
6v9o	1.799
5n4v	1.85
7m0m	1.93
1yy4	2.7
6yah	10.2
6amw	No resolution data available
3vc4	2.23
6l17	1.75
4eon	2.4
5sxb	3.3
7bgc	2.4
7b31	1.8
1okw	2.5
6qe1	1.85
5ar4	2.7
1opj	1.75
8ilv	3.19
3dk7	2.01
6ohm	1.895
8jg8	2.90002335195
5o23	2.25
6i83	1.88
3uoh	2.8002
6ez2	2.7
6zqs	1.95
5eho	2.18
7p7g	1.7
8fko	2.104
7uyt	2.14
8p72	1.9
4e68	2.585
8sg2	No resolution data available
7qhl	1.7
8udu	1.737
3jrw	2.6
5uq0	2.3
6zvq	2.03
5upk	2.4
6zve	2.51
5k5e	2.8
7kh0	2.8
3hv4	2.6
2lgc	No resolution data available
2pl0	2.8
3c1x	2.17
8p05	2.45
6l11	2.05
6pl1	2.03
3qal	1.7
1oky	2.3
3qcq	2.501
4r3c	2.06
5dxh	3.0
6dzh	1.95
2cl7	1.25
5jzj	1.71
8ghv	2.8
3o71	1.95
6xv9	3.38
6fq7	1.6
6uby	7.5
4fv0	2.1
4aa5	2.38
5tts	2.34
2cch	1.7
3kmm	2.8
4nm7	2.3
5l8l	1.67
2ds1	2.0
2n0w	No resolution data available
2xqk	2.4
3itz	2.25
1ib1	2.7
6a1f	1.5
5nke	1.39
1i31	2.5
6hhj	2.3
1ouk	2.5
4gfo	2.3
1gy3	2.7
8x5z	1.8
6ycr	1.54
4gfm	2.3
2bik	1.8
4lyn	2.0
7jii	1.532
7vko	2.9
5fwp	7.2
2r64	2.3
4acd	2.6
1pll	2.8
6wtp	2.5
7c44	1.65
6i2u	2.5
6qhl	1.2
1lpq	3.14
3nun	2.2
4lud	2.85
4hge	2.3
6c9f	2.924
6ol2	2.1
1q3d	2.2
6d5e	1.75
6y6v	2.1
3mh2	2.3
6us0	1.653
3cbl	1.75
3qf9	2.2
2exm	1.8
7obl	1.8
2vwv	1.9
7x4u	1.98
6uwy	2.95
3r8m	1.8
4ded	3.05
8w9b	3.0
5ekn	2.594
3lbn	1.862
5nk0	1.597
1yhw	1.8
3eta	2.6
3krr	1.8
1l5q	2.25
1h00	1.6
5tt7	1.77
8jf4	2.89288354365
4twp	2.4
4nk9	2.57
3b2w	2.3
8jn8	1.902
1oit	1.6
6opi	3.0
7biw	1.2
4fkr	1.9
7egf	3.16
6p68	2.9
4ib3	2.2
8br5	2.7
7nld	2.3
6i5i	1.6
7p7h	2.4
5ya5	1.89
6q4c	1.73
4nzw	3.583
2bil	2.55
6oyt	2.824
7abm	3.004
4bic	2.62
2pzr	3.0
5uq3	3.6
5nk9	1.588
1e9h	2.5
6b8j	2.595
1q8k	No resolution data available
7z21	1.629
4yz9	2.463
7nr8	1.627
5ia0	1.948
5ra4	1.59
3py3	2.1
3qrt	1.75
3zbx	2.2
4qp3	2.599
6wew	2.73
5ehy	2.26
8dgt	3.9
5os7	1.66
2oji	2.6
2beu	1.89
4eym	2.353
1yi6	2.0
4io8	2.58
5etf	2.4
6mob	1.8
5nki	1.675
7co1	3.3
4jdk	2.4
6tlg	2.4
6fnh	1.379
7clh	2.9
3rs2	1.836
6y3o	1.5
5l0e	3.06
4rpv	3.05
6q9y	1.2
8roz	2.7
4urw	2.76
5vbi	1.75000083769
3d7z	2.1
5mrd	1.41
4rss	1.83
3vgo	3.1
5w86	2.61
5e1s	2.264
6mzq	2.0
5ors	1.98
5vio	2.84
2m0g	No resolution data available
3hv5	2.25
3bu5	2.1
8of5	1.97
7bmk	1.85
6s1h	1.05
2x9f	1.75
5tq3	2.69
3pxy	1.8
6s3c	2.0
3wil	2.9
2pm8	2.8
4gg5	2.423
5aik	2.7
4cva	2.5
2ewa	2.1
8c6j	2.8
5kml	2.01
5a6n	1.7
6qx9	3.28
6rm7	1.6
1re8	2.1
6s40	1.9
1jlu	2.25
7nk5	1.4
7niz	1.48
6mm6	2.39
3oc1	2.59
7dfa	2.54
6oje	1.95
6itj	1.994
6q9s	2.4
6q0j	4.9
7opm	2.45
3fy0	2.35
3qcs	2.487
2i40	2.8
8fe2	2.34
5mp8	1.92
1u46	2.0
5wdo	1.65
6dkg	2.53
7aya	2.45
6gl9	1.7
5dgz	2.502
5h8b	2.55
3gcq	2.0
9epz	2.65
8c6l	1.8
5r9a	1.53
7c3y	1.632
3f2a	1.9
7tyr	3.33
6zwi	1.85
3p79	2.1
7z38	3.16
3fc1	2.4
3tiz	2.02
4kb8	1.95
5dew	1.9
7ob8	1.8
7q0b	3.0
7ozb	1.71
8afr	2.15
7zr5	3.9
5oma	3.9
7rw9	3.9
4twn	1.706
6amb	2.5
6y3m	1.5
8orm	1.9
2bp5	2.8
1jah	1.8
5ij8	2.99
6qh5	2.56
1p2t	2.0
4q2a	3.5
6hx1	2.14
5osd	1.99
4d0x	1.82
7xwr	2.164
6f3e	2.67
5a4e	2.68
8elt	1.66
4fmq	2.098
5vil	2.64
7oga	1.9
1w83	2.5
4dfl	1.98
3axw	2.5
4zji	1.99
3bym	2.0
6hwv	1.7
8br6	2.167
5dc0	2.23
8hlt	2.8
3dcv	2.7
8xpv	1.55
4kjd	2.21
5a46	2.63
5f20	2.91
5h2u	2.24
8flc	2.76
2jv3	No resolution data available
3jzp	1.74
8x88	2.7
2qoh	1.95
1syk	2.8
3ddp	2.7
6ayd	3.0
3j4q	35.0
6q3c	1.29
3mvm	2.0
4ylk	1.4
2hz0	2.1
3ac2	2.1
1gnq	2.5
8r08	6.1
7y4u	2.26
8bzj	2.52
5mtx	1.8
1ywv	2.0
6w3b	2.57
1y57	1.91
7z6u	2.28
2e8a	1.77
6vo7	2.31
6vnv	2.15
8aw1	2.14
3ezv	1.99
1b38	2.0
5ius	2.889
5ack	1.24
6zcs	1.47
7b5o	2.5
4ji9	2.4
5wxn	2.93
7w59	3.6
3igg	1.8
6c18	2.3
7z1g	2.85
6nyb	4.1
3od6	2.682
5vk1	2.69
8tx0	2.0
5orz	1.92
2vtq	1.9
3r9n	1.75
4puz	2.085
7u33	2.6
4f4p	2.37
4wb7	1.9
2fsm	1.86
7aj4	2.0
6eiq	2.3
6vne	2.32
8qni	2.483
3iw6	2.1
3lxn	2.5
8be7	3.0
7or7	1.8
4l9w	1.952
3r71	1.75
7s7a	1.7
8g8o	2.2
7qgc	2.55
8stg	3.79
3qqu	2.9
6tnc	2.3
5ek7	1.901
4o0v	2.8
5ar3	3.23
6xdf	2.54
7a4w	2.7
6ttt	2.3
6zyi	1.52
7tth	3.25
8aoa	1.62
5wfj	2.48
6ubw	2.0
6g33	2.05
6w3e	2.737
4dlj	2.6
4dch	1.79
6hnw	2.0
3r28	1.75
6vp7	3.5
4eyj	2.102
4bxl	No resolution data available
2oi4	2.2
5dyw	2.5
1ckp	2.05
7zwg	1.31
4aa0	1.8
1plj	2.8
2xch	2.0
7a53	2.2
5ci7	1.74
7a4o	1.9
3w16	2.8
8tdu	3.11
7dho	3.29
8ssp	2.6
7yds	2.3
2xqj	2.4
4rqv	1.502
6soi	1.55
6z19	1.47
3qtw	1.85
2gfs	1.752
6qa4	1.6
3roy	1.75
2evw	1.05
4eos	2.57
6q3b	1.11
4dg2	2.0
3qkk	2.3
5ang	1.9
4iad	1.9
5u6i	1.69
2bpm	2.4
6gmd	1.66
3vs5	2.851
4pmp	1.8
6f3i	2.14
4eny	2.801
4fkq	1.75
2zyb	2.55
2g1t	1.8
3u15	1.8
7nix	1.9
6gqo	1.87
5otl	1.57
6gue	1.99
7nle	1.4
3sqq	1.85
7s9x	1.69
1jsv	1.96
6raa	2.1
4xw4	1.82
2ghl	2.099
6r3k	2.2
6bvi	1.746
3s0o	2.0
5cvh	1.848
5n50	1.92
7ain	3.2
5hu9	1.529
5nk7	1.889
6heu	1.719
4gt3	1.68
2bdf	2.1
6k72	4.6
6zln	1.7
3hl7	1.88
6guf	2.65
6thz	2.38
3q53	2.09
4wxv	2.1
1bmk	2.4
3pxr	2.0
6cpw	1.85
4fie	3.11
4gcj	1.42
3hv7	2.4
6ytg	1.95
7pim	4.6
6vnb	2.19
4e3c	3.98
1fc0	2.4
5sxa	3.35
4dmb	1.9
4ntt	3.5
7xyq	2.85
4bcp	2.26
3m1s	3.134
1yqj	2.0
6r49	2.209
2bkz	2.6
3ac1	1.99
2psq	2.4
5oo3	1.73
8p70	2.0
5ime	2.217
3o9m	2.98
7m4n	2.52
6xta	2.5
2uw9	2.1
8c1f	1.924
3rni	1.95
3fl4	1.8
1oi9	2.1
7air	3.66
6qhd	2.85
3h1v	2.11
8ff8	2.33
5k7g	2.23
3gcs	2.1
8bxh	1.3
5os3	1.81
1w98	2.15
5knj	2.88
5r9z	1.66
8byl	3.5
6rb1	1.5
2zaz	1.8
6lss	3.23
4c8b	2.75
6y7x	1.45
7nvq	2.05
4gt5	2.398
4hvi	2.4
5v82	1.888
7ozy	2.28
2bzj	2.05
1mry	2.8
5upl	3.003
7aog	1.5
1na7	2.4
8atb	2.35
5hti	1.66
7z5n	2.77
1xlv	2.247
2c6d	2.2
1crq	No resolution data available
6qxk	2.1
7b33	1.9
8aog	1.603
5ax9	2.4
4ztm	2.66
6gu4	2.73
3a60	2.8
5jq5	1.94
2qoi	1.25
3ewh	1.6
1yye	2.03
3umw	2.08
3wik	1.995
2i0h	2.0
5oty	1.48
6ln1	2.699
2zb1	2.5
4zog	2.3
6hes	1.128
5dlt	1.6
4efl	1.9
4ag8	1.95
1u7f	2.6
3r63	1.7
8djc	2.463
1p0p	2.3
5o4a	2.01
2wih	2.5
5vbe	1.57
6vnm	2.2
8eb0	3.03
7z88	3.33
4wsy	2.3
7ogb	1.85
2hzi	1.7
5zn3	1.5
3fqh	2.26
7w5b	4.3
8ae7	1.28
5jr7	3.56
6gqq	1.52
6cz2	2.5
7akf	2.6
5iev	2.03
1a31	2.1
5otp	1.57
6w3k	2.08
8qlr	1.85
5k5n	2.2
3tmo	2.2
3zep	2.35
4k1b	2.082
4a06	2.0
3r04	1.7
7e75	2.481
7d90	3.6
8pyi	3.06
7ege	9.0
6pl3	3.0
2o8y	2.4
8c3g	2.08
6uo6	2.15
7mu7	2.298
4dli	1.91
5os6	2.2
3lxl	1.74
4h3p	2.3
6tca	3.7
8uhg	2.7
4bb4	1.65
3qd4	2.3
1ywt	2.4
4ibm	1.8
8idt	2.8
4aw1	1.68
6no8	2.377
5zya	3.95
7tz7	2.41
4fig	3.01
6g77	2.499
6g2i	5.9
3vs7	3.001
2qll	2.56
7du8	2.75
4mbl	2.6
7aiq	3.72
4i3z	2.05
6q8k	2.29
6nja	1.92
6flv	1.91
3r7v	1.95
8p64	3.312
2e2b	2.2
5iey	1.66
5ku8	2.22
8gcy	1.81
2pwl	2.4
5j1v	2.52
3a7i	1.45
8elu	1.93
7mx3	3.23
7s4t	1.91
5o8u	2.0
5vcx	2.7
5iis	2.1
2rl5	2.65
8pyr	2.15
4rch	2.3
2rvl	No resolution data available
4ztn	2.23
7lht	3.5
4yjo	1.6
5swt	3.49
4s33	1.48
3flz	2.23
1iv6	No resolution data available
5n64	2.4
2a1a	2.8
6cpg	2.8
6rcb	2.05
3vs2	2.609
4c4g	2.65
1t46	1.6
3tgp	1.3075
3gqi	2.5
7nif	1.71
3vs4	2.747
5oti	1.59
5lkr	2.52
2a0c	1.95
7mlk	2.91
3rak	1.75
7bi3	1.2
2i0g	2.5
2eyz	No resolution data available
6f3t	2.5
5ke0	1.68
4uzd	3.2
4hpu	1.55
3e92	2.0
5ml5	1.9
5oth	1.69
7d8h	2.42
4xvq	1.887
7abg	7.8
6tlo	1.69
5ih4	1.9
7obk	1.8
5c1q	3.0
6byr	3.661
2c1j	2.6
7vto	2.59
6cmj	2.4
1jst	2.6
2bmc	2.6
5j79	2.69
5r98	1.68
3hv6	1.95
3dtw	2.9
6i2y	2.56
5ar5	2.66
4ct2	1.25
1ju5	No resolution data available
3pfy	1.702
2bak	2.2
3c4e	1.98
2pvy	2.2
1xqz	2.1
3f5x	2.4
6gqj	2.33
1v4s	2.3
6np9	1.27
6p8g	2.8
4afj	1.98
1cm8	2.4
7a55	2.2
3a4p	2.54
7zy0	1.44
5bpn	2.1
4jaj	2.7
3r6x	1.75
6rij	2.2
7r9l	2.332
3lbh	1.85
7nr3	1.897
7dh9	2.194
6ru7	2.08
3nnv	2.1
2j7t	2.0
7u36	2.75
5ia4	1.797
3k5v	1.74
6c83	2.55
3fn3	2.7
5lxc	2.15
4ach	2.6
4nyj	2.8522
3bgz	2.4
2nv7	2.1
3cjg	2.25
6qzr	2.3
1awo	No resolution data available
5zc6	No resolution data available
4iwp	3.065
4ztq	2.8
2ezz	No resolution data available
2xmg	2.7
7awg	2.0
3qc4	1.8
5i8a	2.33
2j9m	2.5
3du8	2.2
3mk1	1.57
4aac	2.5
7oun	1.9
3zfx	2.5
3ezr	1.9
4wnp	1.88
3qqj	1.7
6r4f	2.501
3sw4	1.7
7a09	3.5
5r9w	1.89
7nj6	1.59
3rk7	1.8
4cfu	2.2
3oiv	1.837
6xva	2.3
4g0n	2.45
7p0k	2.2
3rhx	2.01
2xck	2.3
6y85	1.58
8cnj	1.35
5m4c	1.935
3q9y	1.8
5o9z	4.5
7v0g	1.63
1x7b	2.3
2xj1	2.13
7w5o	2.35
8c1m	2.84
7q1n	2.35
6pme	3.0
3p4k	2.304
8pvo	2.25
2og8	2.3
8cij	2.821
2w1f	2.85
2qtu	2.53
7k0y	3.7
4p5q	1.35
6mzm	7.5
2clq	2.3
6fvf	1.47
1yhs	2.15
3kfa	1.22
8b54	2.6
2x9e	3.1
5n4o	2.22
4wno	1.56
2r3f	1.5
3hec	2.5
2pvr	1.605
4ptc	2.711
8alx	1.1
1g5s	2.61
3r1y	1.8
4yc8	2.9
8h7h	2.27789711576
7og9	1.75
1iaq	2.9
6zvd	2.5
3unk	2.1
7jxu	2.44
8qwz	2.6
5oni	2.0
6zwp	1.9
7bmc	2.0
5and	2.3
7kpl	2.705
4rbl	2.55
7pg0	7.6
4eh4	2.5
5cy3	1.76
3ddq	1.8
4trl	2.452
8xz7	1.75
1u4d	2.1
6ntd	3.15
7a4z	1.9
6hmr	1.782
4bc6	2.2
8p6w	1.9
4py1	2.16
3b2t	1.8
6tcu	2.14
6svp	2.531
5hlw	1.97
6s1j	1.408
7b41	1.97
8be6	2.89880249261
5zv2	2.86
8aof	1.615
8p79	1.7
4zs0	3.0
3cqw	2.0
6y4t	1.98
5moe	1.89
1lez	2.3
5r8z	1.65
3qcy	2.2
1xba	2.0
1wbv	2.0
4yjt	1.52
4qp9	2.001
4mle	2.6
4g6n	2.0
6c24	3.5
4b0p	2.5
4cfn	2.2
4uwc	1.96
5v62	1.9
3ky2	2.7
2w05	1.9
6zcu	1.73
3p7a	2.31
4jjc	1.6
8qwy	2.6
1o9k	2.6
3r8z	1.85
6tpd	1.99
8a66	1.901
6rws	1.53
5yva	2.574
1u8f	1.75
2q0n	1.75
3r8u	2.0
4n70	2.1
6thx	1.99
3qql	1.85
3myg	2.4
7nj1	2.9
4fxx	2.4801
6dbm	2.368
1bl7	2.5
4kbk	2.1
4qmv	2.4
4xg4	2.3
5lcj	1.78
6urr	1.8
6l24	2.40009490218
4g2f	1.699
7uyr	2.15
6ure	1.653
2r3i	1.28
8cdw	1.941
2rvm	No resolution data available
7xaf	3.00118200625
6o9d	2.51
7b3w	2.02
8p5f	1.82
4usf	1.75
3ns9	1.78
2y8o	1.95
5ho7	3.0
7zyo	1.58
3ms9	1.8
8gae	3.3
1ctq	1.26
5dyt	2.55
4fyn	2.318
5csh	1.59
6v9n	1.648
8p6x	1.9
3r7u	1.75
5ng3	2.6
7ndy	1.44
3p1a	1.7
3k9n	2.0
7at8	4.4
6d1y	1.93
4aw0	1.43
1fpu	2.4
7dh3	2.33
6icz	3.0
7pg3	7.3
6q4h	1.0
2z8c	3.25
8elw	1.699
6xr7	No resolution data available
8u4c	3.6
6t9p	2.7
5h0g	1.8
1nvw	2.7
8u1f	3.33
6eii	1.935
6eis	2.36
6z83	2.171
7bgq	1.75
1wbo	2.16
5kgk	2.66
3qts	1.9
6nsp	2.31
4c61	2.45
1nde	3.0
1jvp	1.53
2e88	1.8
2c4g	2.7
3tmp	1.91
4a4c	2.704
8tuc	1.5
3s1h	1.75
8p08	2.4
5d7a	2.9
4prj	2.8
6rl6	1.6
6v94	1.8
3pe1	1.6
7sud	3.6
5n38	2.6
1rdq	1.26
5ork	2.143
3qqh	1.87
7np2	1.27
2h8h	2.2
4xii	2.7
6r4h	2.244
4eut	2.6
5j7b	2.53
3qkl	1.9
3i60	2.5
6wtn	1.83
3g33	3.0
1ci4	1.9
9axa	4.36
7nne	1.96
2wmb	2.6
5na0	2.9
5eko	2.0
8bea	2.47
6vru	2.07
1w7b	1.52
2gph	1.9
2nca	No resolution data available
4mnf	2.802
2w1h	2.15
5ra2	1.57
5r9d	1.69
2xqi	2.6
6vno	3.5
6lxy	2.19
3tuc	2.1
7bdp	1.75
7ogf	1.8
2jfm	2.85
6d55	1.68
7nmw	1.5
3bht	2.0
7xae	3.44
8bi2	1.508
7aio	3.31
3lfn	2.28
6r6w	2.474
8p6y	1.9
5hln	3.1
7ju6	2.06
4f63	2.55
3lfa	2.1
3orx	2.2044
8ely	1.75
6tlv	1.67
3zu7	1.97
3vey	2.25
5vg7	1.95000322932
2zm3	2.5
2qo2	1.6
3lbi	2.087
4b0g	2.5
5fwm	8.0
5zxb	2.198
1h25	2.5
6q4k	1.06
7nr7	1.4
6nm8	2.792
3ack	2.6
2n05	No resolution data available
5ljj	3.0
1q3h	2.5
8aoi	1.602
6y8h	1.37
2b55	1.85
8exv	2.48
3s00	1.8
4dg3	1.8
6iqn	2.54
1bx6	2.1
7bfw	1.8
5r9l	1.47
6m9l	2.45
3oxz	2.2
7o9y	1.66
8dfm	3.45
3vs3	2.17
6rq4	1.96
2j90	2.0
3omq	1.97
6q4a	1.13
4c4f	2.36
6e0i	1.9
8d6d	2.35
7e0z	2.162
4yjp	1.83
2h6d	1.85
6egd	2.1
2c6k	1.9
8boc	1.9
6bql	2.0
5k4j	1.6
4use	2.65
7mon	2.23
5nhj	2.12
6zmw	3.7
8pqb	1.87
6g78	2.5
7bm9	1.8
3qa0	2.5
5kmn	2.14
5n52	2.252
3vbx	2.03
3nkx	2.4
3lvp	3.0
6rjq	1.885
6zcq	2.32
3v5q	2.2001
1oiu	2.0
3zdi	2.645
6sot	1.54
1okv	2.4
3lw0	1.79
6s1i	2.38
6aaj	2.37
5njz	1.768
6cq0	3.19
6pjj	2.4
5okt	2.13
4w2r	2.81
3tt0	2.8
7dpj	1.976
6y7z	1.35
4cfm	2.85
1xfa	3.1
4n6z	2.2
2pe1	2.14
2zm4	2.7
6inl	1.75
5w5o	2.89
7nr5	1.766
1bw8	2.65
5uis	2.5
7v3s	1.9
3pwy	3.5
1t8i	3.0
2iw8	2.3
1zeb	1.9
3nnw	1.89
6z84	2.5
6nt9	3.3
8pql	3.76
7sj3	2.51
6urk	1.86
3fup	2.4
4i0s	1.98
1h1p	2.1
3rpo	1.75
3fly	1.8
6unt	1.75
5ap1	2.05
7r9p	2.27
3uo5	2.7012
1ols	1.85
7egc	3.9
6dki	2.11
6urz	1.653
7m0l	2.43
8wap	5.85
6hd4	2.03
6nvl	2.7
5orl	1.69
7sjq	2.0
4f9b	2.5
5m0s	2.1
1p14	1.9
8tu6	3.12
6l14	1.95
4deb	3.05
3fqs	2.1
3bu6	1.95
6rff	1.8
6ot6	1.65
3a7f	1.55
8was	6.13
1z0m	1.91
4dfy	2.997
7zyk	1.31
5vcv	1.92
2wd1	2.0
7zy5	1.82
6d20	1.94
3vs6	2.373
6svo	2.328
6ntc	2.9
6eqq	2.40000447819
4j99	1.8474
4qml	1.882
5ife	3.1
5zn2	1.2
6vqm	2.87
5hni	1.71
6fng	1.038
1m7q	2.4
6o9z	3.03
1t45	1.9
7ugb	1.9
5eol	2.2
2p2i	2.4
3c13	1.95
6cer	2.69
8yki	2.79
2lqw	No resolution data available
4yp8	2.641
2hzn	2.7
9eq1	3.0
5sxd	3.5
4l9s	1.606
2oj9	2.0
6egf	2.61
3eoc	3.2
7s48	1.9
6n13	No resolution data available
5xjc	3.6
6khd	2.7
8pqg	2.4
3lff	1.5
7qux	1.48
8bh3	4.55
6gjd	1.58
8cur	2.2
3tei	2.404
1znq	2.5
1v16	1.9
4fbn	2.4
3i5z	2.2
4iwd	1.99
1ol7	2.75
5ntt	2.75
6gra	2.6
3qhw	1.91
5dia	1.964
5r9e	1.775
2vwx	1.65
2j2i	1.9
8v8u	2.93
