ACC_ID	PDBID	CHAINID	P_status
O14965	4ded	A	NP
O14965	6cpg	A	NP
O14965	8c1g	A	NP
O14965	2j4z	A	NP
O14965	6c2r	A	NP
O14965	5os2	A	NP
O14965	8sso	D	NP
O14965	4jai	A	NP
O14965	5dt4	A	NP
O14965	3uol	A	NP
O14965	4o0s	A	NP
O14965	3vap	A	NP
O14965	4jbq	A	NP
O14965	3uo6	B	NP
O14965	3w2c	E	NP
O14965	6z4y	A	NP
O14965	4j8n	D	NP
O14965	2w1e	A	NP
O14965	3p9j	A	NP
O14965	3up2	A	NP
O14965	4c3p	A	NP
O14965	3r21	A	NP
O14965	3fdn	A	NP
O14965	3h10	D	NP
O14965	3h10	A	NP
O14965	6gra	A	NP
O14965	4o0u	A	NP
O14965	3coh	A	NP
O14965	4dee	A	NP
O14965	4uzd	A	NP
O14965	3w10	A	NP
O14965	4c3r	A	NP
O14965	4j8n	C	NP
O14965	3up7	A	NP
O14965	3uoj	B	NP
O14965	2x6e	A	NP
O14965	3unz	A	NP
O14965	5aad	A	NP
O14965	3uol	B	NP
O15075	7kxw	A	P
O15075	7kx8	B	NP
O15075	7f3g	B	NP
O15075	7f3g	A	NP
O15075	5jzn	A	NP
O15075	6kyr	A	NP
O15075	7kx8	A	NP
O15075	6kyq	A	NP
O15075	6kyq	B	NP
O15075	6kyr	B	NP
O15075	5jzj	A	NP
O15075	7kx6	A	NP
O15075	5jzn	B	NP
O15075	5jzj	B	NP
O15075	7kx6	B	NP
O15075	7kxw	B	NP
O15151	4rxz	A	P
O15151	4rxz	B	P
O15151	6q9w	A	NP
O15151	8hdg	A	NP
O15151	3jzp	A	NP
O15151	6q9s	B	NP
O15151	3dab	C	NP
O15151	5vk1	E	NP
O15151	2n0u	A	NP
O15151	2vyr	D	NP
O15151	6q9q	C	NP
O15151	6q9s	C	NP
O15151	3u15	B	NP
O15151	3eqy	B	NP
O15151	8hdg	C	NP
O15151	5vk1	A	NP
O15151	3jzo	A	NP
O15151	5vk1	M	NP
O15151	7kjn	A	NP
O15151	5uml	E	NP
O15151	8hdg	D	NP
O15151	6q9u	A	NP
O15151	6q9s	A	NP
O15151	5vk1	C	NP
O15151	3u15	C	NP
O15151	5uml	A	NP
O15151	7c3q	A	NP
O15151	3jzq	B	NP
O15151	6q9q	B	NP
O15151	2n0w	A	NP
O15151	3u15	D	NP
O15151	5vk1	G	NP
O15151	2vyr	B	NP
O15151	3fdo	A	NP
O15151	2n06	A	NP
O15151	6q9y	B	NP
O15151	7c44	A	NP
O15151	5uml	B	NP
O15151	3dab	E	NP
O15151	7c3y	A	NP
O15151	3eqy	A	NP
O15151	5uml	G	NP
O15151	3fea	A	NP
O15151	2vyr	A	NP
O15151	6q9w	B	NP
O15151	5vk1	O	NP
O15151	3dab	G	NP
O15151	5vk1	K	NP
O15151	3jzq	A	NP
O15151	2mwy	A	NP
O15151	6q9q	D	NP
O15151	8ia5	A	NP
O15151	2vyr	C	NP
O15151	3u15	A	NP
O15151	8hdg	B	NP
O15151	3fe7	A	NP
O15151	5vk1	I	NP
O15151	2n14	A	NP
O15151	6q9y	A	NP
O15151	6q9q	A	NP
O15151	3lbj	E	NP
O15151	3dab	A	NP
O15264	4myg	A	P
O15264	4myg	B	P
O15264	8x23	A	NP
O15264	4yno	A	NP
O15264	5ekn	A	NP
O15264	5eko	A	NP
O15264	4eym	A	NP
O15264	4eyj	A	NP
O15264	3coi	A	NP
O15530	1h1w	A	P
O15530	1oky	A	P
O15530	1okz	A	P
O15530	1uu3	A	P
O15530	1uu7	A	P
O15530	1uu8	A	P
O15530	1uu9	A	P
O15530	1uvr	A	P
O15530	1z5m	A	P
O15530	2pe0	A	P
O15530	2pe1	A	P
O15530	2pe2	A	P
O15530	2r7b	A	P
O15530	2xch	A	P
O15530	2xck	A	P
O15530	3h9o	A	P
O15530	3hrc	A	P
O15530	3hrf	A	P
O15530	3iop	A	P
O15530	3nay	A	P
O15530	3nay	B	P
O15530	3nun	A	P
O15530	3nus	A	P
O15530	3nuu	A	P
O15530	3nuy	A	P
O15530	3orx	A	P
O15530	3orx	B	P
O15530	3orx	C	P
O15530	3orx	D	P
O15530	3orx	E	P
O15530	3orx	F	P
O15530	3orx	G	P
O15530	3orx	H	P
O15530	3orz	A	P
O15530	3orz	B	P
O15530	3orz	C	P
O15530	3orz	D	P
O15530	3otu	A	P
O15530	3qc4	A	P
O15530	3qc4	B	P
O15530	3qcq	A	P
O15530	3qcs	A	P
O15530	3qcx	A	P
O15530	3qcy	A	P
O15530	3qd0	A	P
O15530	3qd3	A	P
O15530	3qd4	A	P
O15530	3rcj	A	P
O15530	3rwp	A	P
O15530	3rwq	A	P
O15530	3sc1	A	P
O15530	4a06	A	P
O15530	4a07	A	P
O15530	4aw0	A	P
O15530	4aw1	A	P
O15530	4ct1	A	P
O15530	4ct2	A	P
O15530	4rqk	A	P
O15530	4rqv	A	P
O15530	4rrv	A	P
O15530	4xx9	A	P
O15530	5ack	A	P
O15530	5hkm	A	P
O15530	5hng	A	P
O15530	5ho7	A	P
O15530	5ho8	A	P
O15530	5lvl	A	P
O15530	5lvm	A	P
O15530	5lvn	A	P
O15530	5lvo	A	P
O15530	5lvp	A	P
O15530	5lvp	B	P
O15530	5lvp	C	P
O15530	5lvp	D	P
O15530	5mrd	A	P
O15530	8dqt	A	P
O15530	2biy	A	NP
O15530	3pwy	A	NP
O15530	3ion	A	NP
O15530	3nax	A	NP
O43293	1yrp	A	P
O43293	1yrp	B	P
O43293	2j90	A	P
O43293	2j90	B	P
O43293	3bqr	A	NP
O43293	5a6o	B	NP
O43293	5vja	B	NP
O43293	3bhy	A	NP
O43293	5vja	A	NP
O43293	5a6o	A	NP
O43293	5vja	D	NP
O43293	5vja	C	NP
O43293	5a6n	A	NP
O43293	5a6n	B	NP
O43353	5ng3	A	P
O43353	5ng3	D	P
O43353	5ng2	A	NP
O43353	5ar3	A	NP
O43353	6szj	B	NP
O43353	5w5o	N	NP
O43353	6ul8	A	NP
O43353	5w5o	L	NP
O43353	5w5o	B	NP
O43353	5j79	B	NP
O43353	5ar5	B	NP
O43353	6fu5	B	NP
O43353	6rn8	A	NP
O43353	5ar2	B	NP
O43353	6szj	A	NP
O43353	5w5j	A	NP
O43353	5w5o	P	NP
O43353	5ar7	B	NP
O43353	6sze	A	NP
O43353	5ar4	B	NP
O43353	6s1f	C	NP
O43353	5ng3	C	NP
O43353	5ar5	A	NP
O43353	5ng3	B	NP
O43353	5w5o	I	NP
O43353	6s1f	B	NP
O43353	6rna	A	NP
O43353	5ng2	B	NP
O43353	5j79	A	NP
O43353	6es0	B	NP
O43353	6rn8	B	NP
O43353	5ng0	B	NP
O43353	6s1f	A	NP
O43353	5w5o	K	NP
O43353	5ar7	A	NP
O43353	6s1f	D	NP
O43353	5j7b	B	NP
O43353	8aza	A	NP
O43353	5w5o	F	NP
O43353	5ng0	A	NP
O43353	4c8b	B	NP
O43353	6hmx	A	NP
O43353	6es0	A	NP
O43353	5ar8	B	NP
O43353	6hmx	B	NP
O43353	6rna	B	NP
O43353	5w5o	D	NP
O43353	6ul8	B	NP
O43683	4qpm	A	P
O43683	4qpm	B	P
O43683	5dmz	A	P
O43683	5dmz	B	P
O43683	6f7b	A	P
O43683	4r8q	A	NP
O43741	4rer	B	P
O43741	6b2e	B	P
O43741	7jij	B	NP
O43741	7jhh	B	NP
O43741	7m74	B	NP
O43741	2f15	A	NP
O43741	7jhg	B	NP
O43741	4rew	B	NP
O60260	5tr5	A	P
O60260	6glc	A	P
O60260	5c1z	B	NP
O60260	5n2w	A	NP
O60260	5n38	A	NP
O60260	1iyf	A	NP
O60260	5c23	A	NP
O60260	6hue	B	NP
O60260	5c1z	A	NP
O60260	6hue	A	NP
O60260	5c23	B	NP
O60674	2b7a	A	P
O60674	2b7a	B	P
O60674	2w1i	A	P
O60674	2w1i	B	P
O60674	2xa4	A	P
O60674	2xa4	B	P
O60674	3e62	A	P
O60674	3e63	A	P
O60674	3e64	A	P
O60674	3fup	A	P
O60674	3fup	B	P
O60674	3io7	A	P
O60674	3iok	A	P
O60674	3jy9	A	P
O60674	3kck	A	P
O60674	3krr	A	P
O60674	3lpb	A	P
O60674	3lpb	B	P
O60674	3q32	A	P
O60674	3q32	B	P
O60674	3rvg	A	P
O60674	3tjc	A	P
O60674	3tjc	B	P
O60674	3tjd	A	P
O60674	3tjd	B	P
O60674	3zmm	A	P
O60674	3zmm	B	P
O60674	4aqc	A	P
O60674	4aqc	B	P
O60674	4c61	A	P
O60674	4c61	B	P
O60674	4c62	A	P
O60674	4c62	B	P
O60674	4d0w	A	P
O60674	4d0x	A	P
O60674	4d1s	A	P
O60674	4e4m	A	P
O60674	4e4m	B	P
O60674	4e4m	D	P
O60674	4e4m	E	P
O60674	4e6d	A	P
O60674	4e6d	B	P
O60674	4e6q	A	P
O60674	4e6q	B	P
O60674	4f08	A	P
O60674	4f08	B	P
O60674	4f09	A	P
O60674	4gfm	A	P
O60674	4gmy	A	P
O60674	4hge	A	P
O60674	4hge	B	P
O60674	4iva	A	P
O60674	4ji9	A	P
O60674	4ji9	B	P
O60674	4jia	A	P
O60674	4p7e	A	P
O60674	4p7e	B	P
O60674	4ytc	A	P
O60674	4ytf	A	P
O60674	4yth	A	P
O60674	4yti	A	P
O60674	4zim	A	P
O60674	4zim	B	P
O60674	5aep	A	P
O60674	5cf4	A	P
O60674	5cf4	B	P
O60674	5cf5	A	P
O60674	5cf5	B	P
O60674	5cf6	A	P
O60674	5cf6	B	P
O60674	5cf8	A	P
O60674	5cf8	B	P
O60674	5hez	A	P
O60674	5hez	B	P
O60674	5hez	C	P
O60674	5hez	D	P
O60674	5tq3	A	P
O60674	5tq3	B	P
O60674	5tq4	A	P
O60674	5tq6	A	P
O60674	5tq6	B	P
O60674	5tq7	A	P
O60674	5tq7	B	P
O60674	5usy	A	P
O60674	5usy	B	P
O60674	5wev	A	P
O60674	6aaj	A	P
O60674	6aaj	B	P
O60674	6drw	A	P
O60674	6vgl	A	P
O60674	6vgl	B	P
O60674	6vgl	C	P
O60674	6vgl	D	P
O60674	6vn8	A	P
O60674	6vn8	B	P
O60674	6vnb	A	P
O60674	6vnb	B	P
O60674	6vnc	A	P
O60674	6vnc	B	P
O60674	6vne	A	P
O60674	6vne	B	P
O60674	6vnf	A	P
O60674	6vnf	B	P
O60674	6vng	A	P
O60674	6vng	B	P
O60674	6vnh	A	P
O60674	6vnh	B	P
O60674	6vni	A	P
O60674	6vni	B	P
O60674	6vnj	A	P
O60674	6vnj	B	P
O60674	6vnk	A	P
O60674	6vnk	B	P
O60674	6vnk	C	P
O60674	6vnk	D	P
O60674	6vnl	A	P
O60674	6vnl	B	P
O60674	6vnl	C	P
O60674	6vnl	D	P
O60674	6vnm	A	P
O60674	6vnm	B	P
O60674	6vs3	A	P
O60674	6vs3	B	P
O60674	6vsn	A	P
O60674	6vsn	B	P
O60674	6vsn	C	P
O60674	6vsn	D	P
O60674	6wtn	A	P
O60674	6wto	A	P
O60674	6wtp	A	P
O60674	6wtq	A	P
O60674	6x8e	A	P
O60674	6x8e	B	P
O60674	7ll4	A	P
O60674	7ll5	A	P
O60674	7q7i	A	P
O60674	7q7k	A	P
O60674	7q7l	A	P
O60674	7q7w	A	P
O60674	7ree	A	P
O60674	7rn6	A	P
O60674	7uyw	A	P
O60674	8bm2	A	P
O60674	8bm2	B	P
O60674	8bpv	A	P
O60674	8bpw	A	P
O60674	8bpw	B	P
O60674	8bx6	A	P
O60674	8bx9	A	P
O60674	8bx9	B	P
O60674	8bxc	A	P
O60674	8bxc	B	P
O60674	8bxh	A	P
O60674	8g6z	A	P
O60674	8g6z	B	P
O60674	8g8o	A	P
O60674	8g8o	B	P
O60674	8g8x	A	P
O60674	8g8x	B	P
O60674	4bbe	D	NP
O60674	4bbe	A	NP
O60674	5tq8	A	NP
O60674	5l3a	A	NP
O60674	4bbf	B	NP
O60674	7teu	A	NP
O60674	6tpd	A	NP
O60674	4bbe	C	NP
O60674	3ugc	A	NP
O60674	4bbf	A	NP
O60674	5tq5	A	NP
O60674	6bbv	A	NP
O60674	4bbf	D	NP
O60674	4bbf	C	NP
O60674	4bbe	B	NP
O75385	4wno	A	P
O75385	4wnp	A	P
O75385	4wnp	B	P
O75385	4wnp	C	P
O75385	4wnp	D	P
O75385	5ci7	A	P
O75385	6mnh	A	P
O75385	6qas	A	P
O75385	6qas	B	P
O75385	8sv9	A	P
O75385	8sv9	B	P
O75385	8p5i	B	NP
O75385	8p5k	D	NP
O75385	8p5g	B	NP
O75385	8p5i	C	NP
O75385	8p5j	B	NP
O75385	8p5l	A	NP
O75385	8p5k	C	NP
O75385	8p5k	A	NP
O75385	8p5j	A	NP
O75385	8p5h	A	NP
O75385	8p5l	B	NP
O75385	8p5h	B	NP
O75385	8p5g	A	NP
O75385	8p5i	A	NP
O75385	8p5i	D	NP
O75385	8p5k	B	NP
O75460	4yzc	A	P
O75460	4yzc	B	P
O75460	6w3c	A	P
O75460	6w3c	B	P
O75460	6w3c	C	P
O75460	6w3c	D	P
O75460	6w3e	A	P
O75460	6w3e	B	P
O75460	6xdd	A	P
O75460	6xdd	B	P
O75460	4yz9	B	NP
O75460	5hgi	A	NP
O75460	4yz9	C	NP
O75460	7bmk	B	NP
O75460	7bmk	A	NP
O75460	4yz9	A	NP
O75460	3p23	B	NP
O75460	6w39	B	NP
O75460	4yzd	A	NP
O75460	4z7g	B	NP
O75460	3p23	D	NP
O75460	4yzd	B	NP
O75460	6urc	A	NP
O75460	3p23	C	NP
O75460	4z7h	A	NP
O75460	3p23	A	NP
O75460	4z7h	B	NP
O75460	6hv0	A	NP
O75460	4yzd	C	NP
O75460	4u6r	A	NP
O75460	6xdb	A	NP
O75460	6w3k	A	NP
O75460	6hx1	A	NP
O75460	6w3b	A	NP
O75460	6urc	B	NP
O75460	8uvl	A	NP
O75460	6w39	A	NP
O75460	6xdf	B	NP
O75460	6w3a	A	NP
O75460	6xdf	A	NP
O75531	7abm	A	P
O75531	7ndy	A	P
O75531	7ndy	B	P
O75531	6ghd	A	NP
O75531	6urj	B	NP
O75531	6usi	A	NP
O75531	6us7	B	NP
O75531	6us0	A	NP
O75531	6us7	A	NP
O75531	6rpr	D	NP
O75531	1ci4	B	NP
O75531	6urn	B	NP
O75531	1qck	A	NP
O75531	7z21	D	NP
O75531	6url	A	NP
O75531	6urk	B	NP
O75531	6urk	A	NP
O75531	6urz	B	NP
O75531	6ghd	C	NP
O75531	2ezx	B	NP
O75531	6rpr	E	NP
O75531	6usb	B	NP
O75531	2odg	B	NP
O75531	6usb	A	NP
O75531	7z21	B	NP
O75531	6ure	A	NP
O75531	2odg	A	NP
O75531	2ezz	B	NP
O75531	6urr	A	NP
O75531	2ezz	A	NP
O75531	6usd	A	NP
O75531	7z21	C	NP
O75531	6urr	B	NP
O75531	6us1	B	NP
O75531	6urj	A	NP
O75531	2ezy	B	NP
O75531	6usi	B	NP
O75531	2ezx	A	NP
O75531	6ghd	D	NP
O75531	6unt	B	NP
O75531	6urz	A	NP
O75531	6us0	B	NP
O75531	6url	B	NP
O75531	6urn	A	NP
O75531	2bzf	A	NP
O75531	7z21	A	NP
O75531	6ure	B	NP
O75531	6us1	A	NP
O75531	2ezy	A	NP
O75531	1qck	B	NP
O75531	6ghd	E	NP
O75531	6usd	B	NP
O75531	6unt	A	NP
O75531	1ci4	A	NP
O75533	7dvq	1	P
O75533	8y7e	1	P
O75533	8qxd	B1	NP
O75533	5o9z	v	NP
O75533	5zya	C	NP
O75533	5z58	1	NP
O75533	7evo	1	NP
O75533	8ch6	C	NP
O75533	7qtt	C	NP
O75533	7q3l	A	NP
O75533	6y5q	u	NP
O75533	5z56	1	NP
O75533	6ff7	u	NP
O75533	7onb	C	NP
O75533	6qx9	B1	NP
O75533	6ff4	u	NP
O75533	7q4p	A	NP
O75533	8r0b	B1	NP
O75533	8hk1	1	NP
O75533	8qo9	B1	NP
O75533	6y53	u	NP
O75533	7abg	u	NP
O75533	5ife	C	NP
O75533	7vpx	1	NP
O75533	6y50	u	NP
O94804	6hxf	A	P
O94804	6hxf	B	P
O94804	6hxf	C	P
O94804	6hxf	D	P
O94804	4use	B	NP
O94804	4usd	B	NP
O94804	4equ	A	NP
O94804	2j7t	A	NP
O94804	4aot	A	NP
O94804	7qgp	A	NP
O94804	6i2y	A	NP
O94804	5ajq	A	NP
O94804	4equ	B	NP
O94804	6i2y	B	NP
O94804	4use	A	NP
O94804	4bc6	A	NP
O94804	6eim	B	NP
O94804	5owr	A	NP
O94804	6eim	A	NP
O94804	5ajq	B	NP
O94804	6gtt	A	NP
O94804	4usd	A	NP
O94804	4aot	B	NP
O96013	2bva	A	P
O96013	2bva	B	P
O96013	2cdz	A	P
O96013	2j0i	A	P
O96013	2q0n	A	P
O96013	2x4z	A	P
O96013	4app	A	P
O96013	4fie	A	P
O96013	4fie	B	P
O96013	4fif	A	P
O96013	4fif	B	P
O96013	4fig	A	P
O96013	4fig	B	P
O96013	4fih	A	P
O96013	4fii	A	P
O96013	4fij	A	P
O96013	4jdh	A	P
O96013	4jdi	A	P
O96013	4jdj	A	P
O96013	4jdk	A	P
O96013	4l67	A	P
O96013	4njd	A	P
O96013	4o0v	A	P
O96013	4o0x	A	P
O96013	4o0y	A	P
O96013	4xbr	A	P
O96013	4xbu	A	P
O96013	5bms	A	P
O96013	5i0b	A	P
O96013	5upk	B	P
O96013	5upl	A	P
O96013	5ved	A	P
O96013	5vee	A	P
O96013	5vef	A	P
O96013	5xva	A	P
O96013	5xvf	A	P
O96013	5xvg	A	P
O96013	5zjw	A	P
O96013	6wlx	A	P
O96013	6wly	A	P
O96013	7cmb	A	P
O96013	7cp3	A	P
O96013	7cp4	A	P
O96013	7s48	A	P
O96013	8ahg	A	P
O96013	8ahh	A	P
O96013	8ahi	A	P
O96013	7s46	A	NP
O96013	8yhk	A	NP
P00519	2fo0	A	P
P00519	2gqg	A	P
P00519	2gqg	B	P
P00519	2v7a	A	P
P00519	2v7a	B	P
P00519	5np2	A	P
P00519	5np2	B	P
P00519	7w7x	A	P
P00519	7w7x	B	P
P00519	7w7y	A	P
P00519	7w7y	B	P
P00519	8h7f	A	P
P00519	8h7f	B	P
P00519	8h7h	A	P
P00519	8h7h	B	P
P00519	7n9g	B	NP
P00519	5oaz	B	NP
P00519	4j9g	E	NP
P00519	6amv	A	NP
P00519	7cc2	A	NP
P00519	4j9f	A	NP
P00519	4xey	B	NP
P00519	7pw2	A	NP
P00519	1opl	B	NP
P00519	7pvq	A	NP
P00519	4j9g	A	NP
P00519	6bl8	A	NP
P00519	3ue4	A	NP
P00519	4jjc	A	NP
P00519	4twp	A	NP
P00519	4j9h	C	NP
P00519	2hyy	D	NP
P00519	3uyo	A	NP
P00519	4j9i	C	NP
P00519	5hu9	A	NP
P00519	4twp	B	NP
P00519	5dc0	B	NP
P00519	3ue4	B	NP
P00519	2hyy	A	NP
P00519	2g1t	B	NP
P00519	3qrj	B	NP
P00519	3qri	B	NP
P00519	6xrg	A	NP
P00519	4j9h	F	NP
P00519	7pvq	B	NP
P00519	2f4j	A	NP
P00519	4j9g	C	NP
P00519	2g2f	A	NP
P00519	4j9i	E	NP
P00519	4j9h	D	NP
P00519	4j9h	B	NP
P00519	2g1t	C	NP
P00519	7pvs	B	NP
P00519	3qrj	A	NP
P00519	7pvs	A	NP
P00519	4wa9	A	NP
P00519	2hiw	B	NP
P00519	6bl8	B	NP
P00519	6npv	A	NP
P00519	2o88	B	NP
P00519	4jjb	A	NP
P00519	3egu	A	NP
P00519	3eg1	A	NP
P00519	1bbz	C	NP
P00519	4j9e	E	NP
P00519	2g1t	A	NP
P00519	7dt2	B	NP
P00519	2g2h	B	NP
P00519	3cs9	B	NP
P00519	4j9h	E	NP
P00519	2hz4	A	NP
P00519	2abl	A	NP
P00519	2hz4	B	NP
P00519	7pvv	A	NP
P00519	4j9d	E	NP
P00519	4j9e	A	NP
P00519	3eg3	A	NP
P00519	3cs9	C	NP
P00519	4yc8	B	NP
P00519	6xr6	A	NP
P00519	1bbz	G	NP
P00519	3eg0	A	NP
P00519	2hz4	C	NP
P00519	5dc9	A	NP
P00519	4jjd	A	NP
P00519	7n9g	A	NP
P00519	1ju5	C	NP
P00519	6npe	A	NP
P00519	4xey	A	NP
P00519	2hz0	B	NP
P00519	3qri	A	NP
P00519	2g2h	A	NP
P00519	2hz0	A	NP
P00519	2hzi	A	NP
P00519	4j9b	A	NP
P00519	7cc2	B	NP
P00519	3t04	A	NP
P00519	1opl	A	NP
P00519	1bbz	A	NP
P00519	6amw	A	NP
P00519	2g2f	B	NP
P00519	6npu	A	NP
P00519	8ssn	A	NP
P00519	4wa9	B	NP
P00519	7dt2	A	NP
P00519	2g1t	D	NP
P00519	4zog	B	NP
P00519	4yc8	A	NP
P00519	4j9d	C	NP
P00519	4j9h	A	NP
P00519	4j9i	A	NP
P00519	7pvr	A	NP
P00519	4j9f	E	NP
P00519	3pyy	A	NP
P00519	4zog	A	NP
P00519	2hyy	B	NP
P00519	1awo	A	NP
P00519	6npv	B	NP
P00519	4j9e	C	NP
P00519	5mo4	A	NP
P00519	2g2i	A	NP
P00519	4j9f	C	NP
P00519	4j9d	A	NP
P00519	3cs9	A	NP
P00519	2g2i	B	NP
P00519	6npu	B	NP
P00519	6xr7	A	NP
P00519	2e2b	A	NP
P00519	3qrk	A	NP
P00519	3eg2	A	NP
P00519	6npe	B	NP
P00519	2hzi	B	NP
P00519	3pyy	B	NP
P00519	2hyy	C	NP
P00519	4j9c	A	NP
P00519	1bbz	E	NP
P00519	3cs9	D	NP
P00519	5dc4	A	NP
P00519	2e2b	B	NP
P00519	2o88	A	NP
P00519	5oaz	A	NP
P00519	2hiw	A	NP
