ACC_ID	PDB_Structures
Q9UJY5	1jwg_A,3g2s_B,3g2t_A,1ujj_B,1jwg_B,1py1_A,1ujk_A,3g2u_B,1ujj_A,3g2w_A,3g2w_B,1py1_B,1jwf_A,1ujk_B,1py1_D,3g2v_A,3g2v_B,1py1_C,3g2u_A,3g2t_B,3g2s_A,1o3x_A,1nwm_X,1x79_A,1naf_A,1oxz_A,1j2j_B,2dwx_A,2dwx_C,2dwy_B,1na8_A,1om9_B,2dwy_D,1na8_B,2dwy_C,2dwy_A,2dwx_B,1om9_A,2dwx_D
P28069	5wc9_B,5wc9_A,5wc9_E,5wc9_F
Q9WUL7	3bh7_A,7ok7_A,4zi3_A,7ok7_B,7ok7_E,4zi2_B,4goj_A,3bh6_A,7ok7_F,4zi2_A,4zi3_B,1fzq_A,7ok7_D,4goj_B,7ok7_C
P62743	2jkr_I,2xa7_S,7rwa_s,7rwb_S,6yae_S,6qh5_S,7rwb_s,4uqi_S,7rw8_S,7rw9_S,7oho_SSS,7rwc_S,8t1o_S,2jkr_S,6yaf_S,2vgl_S,7rwa_S,7og1_SSS,6yah_S,2jkt_S,2jkt_I,6qh6_S,7z5c_S
P49146	8k6n_E,7yoo_R,7yon_R,7x9b_R
Q61790	9cyl_L,8dgg_B,9cym_L,7tze_A,7tze_C
Q8IZP6	2csy_A
P29475	8bi9_B,8bi9_C,8bi8_B,8bi9_A,8bi9_D,8bi8_A,7ts8_B,6pot_A,8fgf_B,4uh6_B,5adi_A,4d1n_C,6ngh_A,4uch_A,6av3_A,6pnd_A,8ufq_A,8fgi_A,8fgm_B,5vux_A,5uo6_B,5adf_B,7ts4_D,6av5_B,7ts5_D,5uo4_B,6av1_B,7uam_A,7us7_B,6po9_A,8fgh_A,7ts2_C,6ng8_A,6po7_B,6cid_B,6av1_A,8fgk_D,6ng2_B,8fgl_C,6nhc_A,5vv2_B,5fvw_B,6auz_A,6pnb_A,5vuw_A,6pob_A,7ts3_A,5fvv_A,7uam_C,6ng5_A,5vuv_A,5vv3_B,6pnf_B,6po8_A,7us7_D,6poa_B,6ngh_B,6po5_A,8fgm_A,8fgl_A,8fgj_A,8ufp_A,5uo3_B,8fgh_C,8ufq_C,7ts1_C,6poc_A,7ts8_D,4d1n_B,8fgl_B,6po9_B,7ts6_A,6auy_B,6po7_A,8ufp_B,6av4_A,8ufq_B,6ng1_A,6ngc_A,7ts7_A,6pnh_A,8fgj_C,8fgk_A,5uo6_A,7us8_A,4d1n_D,5uo2_B,6nhb_B,7ts1_B,5uo4_A,5uo7_A,8fgj_D,6ngd_B,4uh5_B,8fgm_D,5fvx_B,6ng1_B,6nge_B,6nge_A,6pnc_B,5vv4_A,5uo1_A,7ts4_B,7ts7_D,5adf_A,8fgh_B,5vuw_B,8fgk_C,6ngi_A,6ngf_B,7ts2_A,6ngf_A,5uo5_A,6png_A,8fgk_B,6pnf_A,7ts7_C,6ngb_B,6ngd_A,6pne_A,4v3u_D,6pna_B,5vv0_A,6po8_B,5fvu_A,6po5_B,6png_B,6pnb_B,6ngb_A,6ng2_A,7ts5_C,8fgf_A,7us7_C,8fgg_B,5vuy_B,5fvx_A,5uo3_A,5vv1_B,6pob_B,6ng8_B,6nhb_A,4v3u_C,6cid_A,6ng4_B,5vv2_A,5adi_B,6ng6_B,7us8_B,5vv5_B,5vv3_A,5fvw_A,5vv4_B,7ts2_B,4d1n_A,5vuz_B,5adg_B,8fgj_B,6ng5_B,6pne_B,6auy_A,5vv0_B,5fvv_B,5vv1_A,7ts1_D,7ts1_A,4v3u_A,5vuz_A,8fgg_A,6poa_A,5vv5_A,6nga_A,6ng6_A,7ts6_C,8fgl_D,7us8_D,5uo2_A,6cic_B,7ts3_C,6pnc_A,7us8_C,7uam_B,7ts2_D,6auz_B,4uh6_A,6ng7_A,7ts6_B,7ts8_C,6pnd_B,5uo7_B,8fgm_C,6nhc_B,6ng7_B,6cic_A,6pot_B,6av2_B,7ts7_B,8fgh_D,7ts3_B,8ufq_D,7ts3_D,6poc_B,8fgi_B,6av4_B,6nga_B,6av3_B,6ng4_A,5vux_B,7us7_A,5fvu_B,6av2_A,7ts8_A,7ts5_A,7ts6_D,6ngi_B,5uo1_B,7ts5_B,6av0_B,7uam_D,7ts4_A,6pnh_B,5adg_A,5vuy_A,4v3u_B,4uh5_A,4uch_B,5uo5_B,7ts4_C,6ngc_B,6av0_A,5vuv_B,6pna_A,6av5_A
Q15751	4qt6_A,4o2w_A,4o2w_B,4o2w_D,4o2w_C
Q9BQS8	7bqi_A,5cx3_F
Q8VDQ1	2zb3_A,1vj1_A
P14404	6xau_A
Q9NY97	7jhk_B,6wmo_A,7jhl_A,7jho_A,8tic_A,8tjc_C,8tjc_B,6wmm_B,8tjc_D,8tic_B,7jhm_A,8tic_C,6wmn_C,7jhk_A,7jhk_D,7jhi_B,7jhn_A,8sz3_A,8sz3_B,8tic_D,7jhm_B,7jhk_C,6wmn_A,6wmn_B,7jhi_A,7jho_B,6wmm_A,8tjc_A,6wmo_B,7jhl_B,7jhi_C,7jhi_D
Q15436	5kyn_B,5vnl_A,5vno_A,2nup_A,5vnj_A,5vnk_A,5vng_A,3efo_A,5vnh_A,8hr0_A,5vnm_A,5kyn_A,2yrc_A,2yrd_A
P36897	2l5s_A,3kfd_I,6mac_K,3kfd_J,3kfd_K,2pjy_C,3kfd_L,1b6c_B,4x0m_A,2x7o_D,2wot_A,3hmm_A,1b6c_F,3kcf_B,5qu0_A,5e8u_A,5e8t_A,1ias_B,5e8z_A,1b6c_H,5e8x_A,1rw8_A,2wou_A,3kcf_E,3kcf_D,5fri_A,4x2n_A,3faa_A,5e8s_A,4x2j_A,3kcf_A,3faa_D,5qim_A,1py5_A,3faa_C,5usq_A,5qik_A,4x2k_A,5qil_A,3gxl_A,8yhf_A,3tzm_A,2x7o_A,1ias_E,1vjy_A,1ias_A,1b6c_D,1ias_C,4x2g_A,5qtz_A,4x2f_A,2x7o_E,5e90_A,8yhl_A,3faa_B,3kcf_C,3faa_E,2x7o_C,1ias_D,6b8y_A,5e8w_A,2x7o_B
P24530	6lry_A,8hbd_R,8iy5_R,6igk_A,8iy6_R,8xgr_R,8hcx_C,6igl_A
O00231	5gjr_Q,6msj_X,8cvt_X,5vhs_X,7qy7_X,5vfr_X,5vhh_X,6msk_X,6wjd_X,5vfp_X,5t0i_X,5vfs_X,5t0g_X,7qyb_X,7qxu_X,6wjn_X,5t0j_X,7qxn_X,5vfq_X,7w3g_X,5vhf_X,7w3k_X,5vhi_X,7w3b_X,5vgz_X,5vft_X,5gjq_Q,5ln3_Q,7w3h_X,5vfu_X,7w38_X,7qya_X,6msh_X,5gjr_4,7w3f_X,7qxx_X,6msb_X,6msg_X,6msd_X,7w3m_X,7qxp_X,5t0c_BX,6mse_X,5t0c_AX,7w39_X,5m32_l,7w3i_X,7qxw_X,5t0h_X,7w37_X,7w3c_X,5l4k_Q,7w3j_X,7w3a_X
Q86TB9	2xeq_D,2xer_B,2xeq_A,2xer_C,2xes_A,2xer_A,2xeq_C,2xeq_B,2xes_B
P05480	6f3f_A,8xn8_A
Q99MD6	2lv3_A
Q9NZA1	8q4j_A,6y2h_B,6y2h_C,8q4j_B,8q4i_A,8q4i_B,6y2h_D,6y2h_A
Q9NR31	8dzt_A,8dzm_A,8dzn_B,8dzt_B,8dzn_A,8dzo_B,8dzo_A,2gao_A,8e0h_A,8dzm_B,2gao_B,8e0h_B
Q9ULW8	7d5r_B,7dan_B,7d5v_A,7d8n_A,7d56_C,7dan_A,7d56_A,7d4y_B,7dan_C,7d56_B
P22680	3sn5_B,3v8d_B,3dax_B,3v8d_A,3sn5_A,3dax_A
O95995	8j07_0,8j07_4
Q86W42	7znl_N,7znk_f,7apk_f,7znl_F,7znk_F,7znk_n,7znl_n,7znl_f,7znk_N,7apk_n,7apk_N,7apk_F
P13599	1frt_A,3fru_A,3fru_E,1i1a_A,3fru_C
P55260	2zhj_A,2zhi_A
P31994	3wjj_C,5occ_A,2fcb_A
Q3URR7	4e6s_A
P56181	5xtd_K,5xti_BK,5xth_K,5xti_K,5xtb_K
Q8N4A0	5nqa_B,6h0b_A,5nqa_A,6h0b_B
Q07409	5e5r_D,5e5r_B,5i99_A,5e4q_A
P34972	8gur_R,8gus_R,6pt0_R,8guq_R,8gut_R,6kpf_R,2ki9_A
Q5KU26	2ox8_B,2ox8_D,2ox8_C,2ox8_A
Q6DN90	7vmb_B,6fne_A,5nlv_A,4c0a_B,6fne_B,7vmb_A,4c0a_F,4c0a_E,3qwm_A,4c0a_A,5nly_B,5nly_A
P35790	5eqe_A,4br3_A,5fut_A,3g15_A,5w6o_A,2ckq_A,3f2r_A,7a06_A,4cg8_A,3zm9_B,7a04_B,5ftg_A,7nb3_BBB,2cko_A,8bi5_B,7nb3_AAA,8bi5_A,4cg9_A,5eqy_A,5afv_B,5eqp_A,2cko_B,7nb2_BBB,4cga_A,4br3_B,4da5_A,8bi6_A,5afv_A,2ckq_B,5w6o_B,5eqy_B,7a04_A,8bi6_B,2ckp_A,7nb1_BBB,7nb1_AAA,3zm9_A
P39900	1ros_B,5n5j_A,4efs_A,5i2z_A,5l7f_A,5i3m_A,4gql_A,4h76_A,3rts_A,5i4o_A,5n5k_A,7ovy_A,4h30_B,1jiz_B,4ijo_A,3ehx_A,1os9_D,1utz_B,3tsk_A,3lka_A,5i4o_C,2mls_A,2wo8_B,6enm_B,1jk3_A,2k2g_A,2k9c_A,6ela_A,4h49_B,4gr8_A,2woa_B,2poj_A,2wo8_A,2z2d_A,3lil_A,6rly_A,3nx7_A,4h30_A,3n2u_A,6ela_C,6eox_A,3f19_A,3n2v_A,1os2_C,3uvc_A,2wo9_B,4h49_D,3ehy_A,4guy_A,4gr0_A,1rmz_A,2wo8_D,2w0d_B,5d3c_A,1utt_A,2wo9_C,1os2_E,4i03_A,6rd0_A,6ela_B,1os2_F,3f16_A,2w0d_C,5i2z_D,6enm_A,5i3m_D,1utz_A,2wo8_C,2wo9_D,5i3m_B,1os2_A,3f17_A,3uvc_B,2wo9_A,5i2z_C,2krj_A,5i0l_A,5d2b_A,5lab_A,4h49_C,2woa_C,6ela_D,3lik_A,2w0d_D,5i43_D,1z3j_A,2oxu_A,5i4o_D,1os9_C,2woa_A,4h84_A,5i4o_B,2hu6_A,1os9_A,1y93_A,5i43_C,2oxw_A,2n8r_A,2w0d_A,5l7f_B,1ycm_A,2mlr_A,3ts4_A,8b2n_A,4h49_A,1ros_A,8b2n_C,4h84_B,5l79_A,5cxa_A,3f18_A,5i2z_B,3f1a_A,1jiz_A,2woa_D,1os2_D,5i43_A,5i0l_B,5i3m_C,3ljg_A,1os9_B,1os9_F,5czm_A,3rtt_A,1os2_B,2oxz_A,3f15_A,8rij_A,4gr3_A,3lir_A,1os9_E,3lk8_A,6ekn_A,5i43_B,2jxy_A,3ba0_A
Q6H8Q1	1v6g_A,1wig_A,2l3x_A
Q9H6S3	1wxb_A,1wwu_A
Q8BYM5	7cee_B
Q80XZ4	6weo_4,6weo_V,6weo_S,6weo_B,6weo_1,6weo_Y,6weo_P,6weo_7,6weo_I,6weo_M,6weo_F,6weo_A
P31639	8hez_A,7ynj_A,8hg7_A,7ynk_A
P01023	7o7l_D,7o7p_D,7o7m_B,7o7q_B,7o7q_D,6tav_C,7o7s_B,7o7n_B,7o7n_D,7o7o_D,7o7r_A,7o7r_C,6tav_D,7o7p_A,7o7s_D,7o7m_D,7o7l_B,7o7o_B,7voo_A,2p9r_B,2p9r_A,1bv8_A
Q08554	5iry_B,5iry_A
P42229	7ubt_A,7uc7_A,7tva_A,7tvb_A,7uc6_A,7tva_B
P29066	8go8_B,8gp3_B,8i0n_B,4jqi_A,8ja3_B,8j8z_A,6u1n_C,8hsv_A,8j8z_B,8i0q_B,8go8_A,8i0n_A,8i0q_A,8gp3_A,8hst_A
Q8WWZ1	5bow_A
P60228	7qp7_v,8pj4_v,8pj3_v,8xxn_3E,6zp4_E,9bln_v,8pj2_v,8pj5_v,6ybd_v,6zon_E,6fec_3,8pj1_v,8pj6_v,7qp6_v,3j8b_E,8oz0_5,6zmw_v,6zvj_E,8rg0_v,7a09_E,8ppl_Iv
O14646	2b2y_B,4nw2_C,2b2w_A,4nw2_A,2b2u_C,2b2w_B,2b2t_B,2b2u_A,4o42_A,2b2t_C,2b2t_A,5afw_A,2b2y_A,2b2v_A,2b2v_B,2b2v_C,2b2u_B,2b2w_C,2b2y_C,4b4c_A,2n39_A
Q6PGF2	6jle_A
Q01130	2leb_A,2lec_A,2lea_A
P98155	8ufb_X,8ufb_U,8ufb_T,8ufb_S,8ufb_W,8ufb_R,8ufb_V,8ufb_Y,8ufc_V,8ufc_W,8ufc_Y,8ufc_X,8ihp_O,6byv_A,8ihp_M,1v9u_5,3dpr_E,8ihp_N
Q8TDR0	2eqo_A,8kcq_A
Q9UDX4	4uyb_A
Q6P9B9	8rbx_e,7ycx_E,8rbz_e,7cun_E
Q07008	4xlw_C,5uk5_A,4xlw_E,4xl1_A,4xlw_G,4xl1_D,4xlw_A
P41235	6cht_G,6cht_P,4b7w_B,4iqr_E,6cht_V,6cht_T,6cht_E,3fs1_A,6cht_Q,1pzl_A,4iqr_F,6cht_A,4b7w_A,8c1l_A,6cht_K,6cht_H,6cht_W,6cht_N,4iqr_A,6cht_S,6cht_B,6cht_D,4b7w_D,8c1l_B,6cht_M,4b7w_C,4iqr_B,6cht_J,3cbb_A,3cbb_B
Q01118	7tj9_A
P80075	1esr_A,7s5a_B,7s5a_A
Q8TCD5	4l57_A,4yih_B,4yih_A,2i7d_B,4l57_B,6g2n_B,6g2n_A,2i7d_A
P52630	6wcz_A,8t13_A,2ka4_B
Q9UQV4	4akm_A,4akm_B
O60563	4ec8_B,3tn8_B,7nwk_B,3tnh_B,4ogr_F,3lq5_B,3blh_B,4bch_B,4imy_D,5l1z_B,3mi9_B,4or5_B,4bcg_B,4bci_B,6cyt_B,4bcj_B,3blr_B,3tni_B,8i0l_B,6z45_B,3blq_B,4imy_B,3my1_B,6gzh_B,4ogr_K,4or5_G,4bcf_B,6w9e_B,4imy_F,8k5r_B,3mia_B,4ec9_B,4ogr_B
Q91YI6	6lbj_A,6lbj_B
Q9JLV6	1ujx_A,1yjm_A,1yj5_C,1yjm_C,1yjm_B,3zvn_A,3u7f_B,3u7e_B,3zvm_B,1yj5_B,3zvm_A,3u7g_A,3u7h_B,1yj5_A,3zvl_A
Q9Y5J7	2bsk_E,7cgp_K,2bsk_C,7cgp_E,7cgp_D,2bsk_A,7cgp_F,7cgp_L
P11233	6p0l_B,1zc4_A,2bov_A,6p0o_B,2a78_A,1uad_B,6p0j_B,6p0m_B,6p0k_B,1zc4_C,1zc3_C,1uad_A,1zc3_A,6p0n_B,6p0i_B,8fji_B,2a9k_A,8fjh_B
P51398	8any_AX,7pny_X,8oir_AX,7p2e_X,7qi6_AX,8qrl_X,7qi4_AX,8cst_X,6zsc_AX,6zsd_AX,8k2a_Se,6rw4_X,6zs9_AX,8qrn_X,8xt0_Se,7pnz_X,8csu_X,7l08_AX,6zsa_AX,6vlz_AX,7po0_X,7pnx_X,6zsb_AX,7qi5_AX,7po2_X,8qrm_X,7po3_X,8css_X,6zm6_AX,8qrk_X,7po1_X,8csp_X,8csr_X,8xt2_Se,6vmi_AX,6zsg_AX,7og4_AX,6zm5_AX,6zse_AX,8ois_AX,8csq_X,6rw5_X,7a5i_X6
P63018	2v7z_A,2v7z_B,7hsc_A,1ckr_A,1ud0_D,1ud0_A,1ud0_B,1ud0_C
P78324	7st5_F,6bit_G,6nmr_M,6nms_S,2uv3_A,7ygg_A,6nmu_S,6nmu_C,6nmr_E,2jjt_A,2uv3_B,6nmt_C,6nmr_S,6bit_H,2wng_A,4cmm_A,2jjs_B,7st5_A,6nmr_I,2jjs_A,7kpg_S,6nms_C,7ygg_B,2jjt_B,6nmv_S
P28065	6avo_F,7b12_H,6e5b_b,7awe_V,7awe_H,7b12_V,6avo_A,6e5b_N
Q8N2C7	7sx4_E
O43745	2bec_A
O55000	6vti_A,4mp0_B,4mp0_D,4moy_B
Q7Z2W4	6uei_A,6uej_A,7tgq_A,7kzh_A,4x52_D,4x52_A,2x5y_A,4x52_B,4x52_C
Q13454	4m90_A,4m92_A,4m8g_B,4m91_A,4m8g_A
P08253	7xgj_C,1gxd_B,8h78_B,1gxd_A,3ayu_A,7xgj_B,1eak_A,1eak_C,7xjo_A,7xgj_A,7xjo_B,1eak_B,1ck7_A,8h78_A,1eak_D,1hov_A,1qib_A,1ks0_A,1cxw_A,1j7m_A,1gen_A,1rtg_A
O94864	7ktr_D,7kts_D
O75448	7lbm_2,7enj_X,7ena_x
O60925	6nr8_1,6nr9_1,6nrd_1,6nrc_1,6nrb_1,7wu7_1
Q9NZT1	2b1u_A
Q9Y5N6	3m03_B,3m03_C,3m03_A,6kvg_A
O35405	8v06_A,8v06_D,8v07_A,8v05_A,8v06_B,8v07_D,8v07_C,8v06_C,8v07_B
P17050	3h55_B,4do4_B,4do6_A,3igu_B,4do4_A,3h54_A,4do6_B,3h55_A,4do5_B,3igu_A,3h54_B,3h53_B,4do5_A,3h53_A
O15296	7laf_B,4nre_A,7laf_A
Q8CCS2	7cu3_B
Q8WUM4	2xs1_A,2xs8_A,2r05_A,2r02_A,6kp3_A,3c3o_A,2oew_A,2oev_A,5v3r_A,3c3r_A,2r03_A,3c3q_A,5wa1_A,4jjy_B,2ojq_A,2oex_B,4jjy_A,2oex_A
Q9H040	6mdw_A,6mdx_A
Q99558	4dn5_B,4idv_C,6z1t_AAA,4g3d_B,4dn5_A,6z1t_BBB,4idv_A,8yhw_C,4g3d_E,8yhw_D,8yhw_A,4idv_B,6wpp_B,8yhw_B,4idv_D,4g3d_A,6z1q_BBB,6wpp_A,4idt_B,4idt_A,6z1q_AAA
Q96RI1	8hbm_F,8hbm_B,5q1h_G,5y1j_A,5q1d_A,3p88_A,5q0n_A,5q0l_C,3oki_C,3oof_C,5q1f_C,3ruu_A,5q11_A,5wzx_A,5q19_A,5q13_C,5ick_B,3olf_A,7trb_B,5yxb_A,5q0s_C,5q0o_A,3hc6_A,3ook_A,3rut_A,3omm_A,5q0l_A,5q15_A,5q0t_A,5q0j_A,5q0j_C,5q16_C,5yxj_A,6a60_A,5q0m_A,3dcu_A,6a5w_A,3rvf_A,5yxj_B,5q0u_C,5q16_A,3oof_A,5q1a_C,6a5z_A,6a5x_A,8hd3_A,5q1h_A,5q0p_A,5q0w_A,5q14_A,5q0n_C,5iaw_B,5q0v_C,7vue_A,7trb_A,5q0y_A,5y49_A,5q0q_A,5yxl_C,5ick_A,5y44_A,3hc5_A,5q10_A,4oiv_B,6itm_C,5q1b_C,3okh_A,3dct_A,5q18_A,5q0z_C,5q0x_A,5q1f_A,6a5z_H,6a5w_C,5q0s_A,3bej_A,5q14_C,5q1b_A,3p89_A,5q19_C,5q0q_C,6hl0_A,5q17_A,5q12_A,5q0i_A,3fxv_A,3ook_C,5q18_C,5yxl_A,4wvd_A,5q1e_A,8hd3_B,3omm_C,5q0o_C,5q13_A,3omk_A,3omk_C,5q1d_C,5iaw_A,4oiv_A,5q1c_A,5wzx_B,5q1h_E,5q0z_A,3gd2_A,5q0v_A,5y49_B,5q1c_C,6hl1_A,5q15_C,5q1h_C,7d42_A,6itm_A,5q1a_A,5q1g_A,3olf_C,3oki_A,3bej_B,5q0p_C,5q1i_A,4qe8_B,5z12_A,5yxd_A,4qe8_A,1osh_A,5z12_D,4wvd_B,5q0k_A,3l1b_A,5q0r_A,3fli_A,5q0y_C,6a5y_A,5q0u_A
P58252	7ls2_m
P06281	5mkt_A
P08754	4g5o_A,2ode_A,4g5s_A,4g5r_B,4g5s_C,4g5s_D,7x6i_E,4g5r_C,4g5r_D,8jd6_A,4g5r_A,4g5o_C,8gvx_F,8gvx_E,7x6i_H,7x6i_G,7t11_A,9avl_A,2ihb_A,8oy1_A,8gvx_G,4g5s_B,2v4z_A,8gvx_H,4g5o_B,2ode_C,7x6i_F,4g5o_D
P63034	1u27_A,1u29_A
P29391	6zh5_E,6zlq_Q,6zh5_L,6zlq_V,6zlg_M,6zlq_I,6zlg_B,6zh5_D,6zlg_T,6zlq_E,6zlq_W,6zlg_N,6zlg_D,6zlq_U,6zh5_Q,6zlq_H,6zlg_W,6zlq_C,6zlq_A,6zlg_E,6zlq_B,6zlq_K,6zlq_D,6zlg_L,6zlq_M,6zlg_F,6zh5_K,1lb3_A,6zh5_N,6zh5_J,6zh5_W,6zlq_L,6zh5_S,6z3d_E,6z3d_A,6zh5_R,6zh5_I,6z3d_D,6zlq_G,6zlg_A,6zlg_C,6zlg_V,6zlg_Y,6zh5_H,6zlg_S,6zlg_O,6zlg_I,6zlg_K,6zh5_U,1h96_A,6zlq_J,6zlg_U,6z3d_F,6zh5_G,6zlq_P,6z3d_C,6zh5_A,6zlg_X,6zlg_J,6zh5_F,6z3d_B,6zlq_F,6zlg_R,6zlq_N,6zlg_P,6zlq_O,6zlq_T,6zh5_V,6zlq_R,6zlg_Q,6zh5_B,6zh5_P,6zh5_M,6zh5_C,6zlg_Z,6zh5_Z,6zh5_T,6zlq_Z,6zh5_O,6zlq_S
Q96KP4	4ruh_A,4ruh_B
Q6EDY6	4k17_C,4k17_A,4k17_D,4k17_B,3aae_V,3aae_Y,2kz7_C,3aae_X,3aae_Z,3aae_W
Q96QF0	4lhz_F,4lhx_D,4lhz_E,6f6p_B,6f6p_A,4lhy_F,4lhz_C,4lhx_C,4lhy_C,4lhz_D,6f6p_D,4lhy_D,4lhx_E,4lhx_F,6f6p_C,4lhy_E,4uj3_E,4uj3_K,4uj3_H,4uj4_E,4uj3_W,4uj5_D,4uj3_Q,4uj3_T,4uj3_N,4uj5_C,4uj4_K,4uj4_B,4uj3_B,4uj4_H
Q9JLQ0	2krm_A,2mcn_A,2krn_A,2lz6_B,2jte_A,2kro_A
